emoji,position,negativo,neutro,positivo,score,unicode_name,unicode_block,unicode
┊,0.682,0.014,0.014,0.972,0.958,BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL,Box Drawing,b'\\u250a'
🎎,0.417,0.019,0.056,0.926,0.907,JAPANESE DOLLS,Miscellaneous Symbols and Pictographs,b'\\U0001f38e'
▃,0.373,0.032,0.032,0.935,0.903,LOWER THREE EIGHTHS BLOCK,Block Elements,b'\\u2583'
♨,0.665,0.032,0.065,0.903,0.871,HOT SPRINGS,Miscellaneous Symbols,b'\\u2668'
🔅,0.635,0.056,0.056,0.889,0.833,LOW BRIGHTNESS SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f505'
🏧,0.888,0.067,0.067,0.867,0.800,AUTOMATED TELLER MACHINE,Miscellaneous Symbols and Pictographs,b'\\U0001f3e7'
✰,0.195,0.034,0.138,0.828,0.793,SHADOWED WHITE STAR,Dingbats,b'\\u2730'
🌼,0.604,0.026,0.169,0.805,0.779,BLOSSOM,Miscellaneous Symbols and Pictographs,b'\\U0001f33c'
😙,0.876,0.021,0.180,0.799,0.778,KISSING FACE WITH SMILING EYES,Emoticons,b'\\U0001f619'
🔔,0.713,0.077,0.077,0.846,0.769,BELL,Miscellaneous Symbols and Pictographs,b'\\U0001f514'
🎁,0.709,0.041,0.158,0.801,0.759,WRAPPED PRESENT,Miscellaneous Symbols and Pictographs,b'\\U0001f381'
◤,0.669,0.083,0.083,0.833,0.750,BLACK UPPER LEFT TRIANGLE,Geometric Shapes,b'\\u25e4'
🆔,0.479,0.063,0.125,0.813,0.750,SQUARED ID,Enclosed Alphanumeric Supplement,b'\\U0001f194'
❤,0.747,0.044,0.166,0.790,0.746,HEAVY BLACK HEART,Dingbats,b'\\u2764'
💞,0.829,0.041,0.180,0.780,0.739,REVOLVING HEARTS,Miscellaneous Symbols and Pictographs,b'\\U0001f49e'
🎉,0.744,0.039,0.184,0.777,0.738,PARTY POPPER,Miscellaneous Symbols and Pictographs,b'\\U0001f389'
💐,0.728,0.041,0.184,0.776,0.735,BOUQUET,Miscellaneous Symbols and Pictographs,b'\\U0001f490'
💃,0.853,0.045,0.177,0.779,0.734,DANCER,Miscellaneous Symbols and Pictographs,b'\\U0001f483'
💙,0.703,0.033,0.204,0.763,0.730,BLUE HEART,Miscellaneous Symbols and Pictographs,b'\\U0001f499'
🏆,0.706,0.036,0.203,0.761,0.726,TROPHY,Miscellaneous Symbols and Pictographs,b'\\U0001f3c6'
🎊,0.724,0.057,0.164,0.779,0.721,CONFETTI BALL,Miscellaneous Symbols and Pictographs,b'\\U0001f38a'
🎈,0.719,0.018,0.246,0.736,0.718,BALLOON,Miscellaneous Symbols and Pictographs,b'\\U0001f388'
💖,0.762,0.043,0.201,0.755,0.712,SPARKLING HEART,Miscellaneous Symbols and Pictographs,b'\\U0001f496'
😚,0.853,0.049,0.192,0.759,0.710,KISSING FACE WITH CLOSED EYES,Emoticons,b'\\U0001f61a'
🎆,0.799,0.055,0.182,0.764,0.709,FIREWORKS,Miscellaneous Symbols and Pictographs,b'\\U0001f386'
💛,0.752,0.043,0.205,0.752,0.709,YELLOW HEART,Miscellaneous Symbols and Pictographs,b'\\U0001f49b'
😘,0.854,0.053,0.193,0.754,0.701,FACE THROWING A KISS,Emoticons,b'\\U0001f618'
🚜,0.767,0.100,0.100,0.800,0.700,TRACTOR,Transport and Map Symbols,b'\\U0001f69c'
👑,0.699,0.043,0.219,0.738,0.694,CROWN,Miscellaneous Symbols and Pictographs,b'\\U0001f451'
💋,0.801,0.039,0.231,0.730,0.691,KISS MARK,Miscellaneous Symbols and Pictographs,b'\\U0001f48b'
🚹,0.812,0.069,0.172,0.759,0.690,MENS SYMBOL,Transport and Map Symbols,b'\\U0001f6b9'
🐟,0.677,0.049,0.213,0.738,0.689,FISH,Miscellaneous Symbols and Pictographs,b'\\U0001f41f'
🐭,0.823,0.021,0.271,0.708,0.688,MOUSE FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f42d'
💘,0.785,0.048,0.221,0.731,0.683,HEART WITH ARROW,Miscellaneous Symbols and Pictographs,b'\\U0001f498'
💟,0.788,0.061,0.197,0.742,0.682,HEART DECORATION,Miscellaneous Symbols and Pictographs,b'\\U0001f49f'
🎇,0.821,0.080,0.160,0.760,0.680,FIREWORK SPARKLER,Miscellaneous Symbols and Pictographs,b'\\U0001f387'
😍,0.765,0.052,0.219,0.729,0.678,SMILING FACE WITH HEART-SHAPED EYES,Emoticons,b'\\U0001f60d'
🍓,0.689,0.041,0.247,0.711,0.670,STRAWBERRY,Miscellaneous Symbols and Pictographs,b'\\U0001f353'
♡,0.764,0.052,0.227,0.721,0.669,WHITE HEART SUIT,Miscellaneous Symbols,b'\\u2661'
🇷,0.716,0.044,0.244,0.711,0.667,REGIONAL INDICATOR SYMBOL LETTER R,Enclosed Alphanumeric Supplement,b'\\U0001f1f7'
📄,0.624,0.111,0.111,0.778,0.667,PAGE FACING UP,Miscellaneous Symbols and Pictographs,b'\\U0001f4c4'
🚳,0.103,0.111,0.111,0.778,0.667,NO BICYCLES,Transport and Map Symbols,b'\\U0001f6b3'
💓,0.783,0.061,0.214,0.725,0.664,BEATING HEART,Miscellaneous Symbols and Pictographs,b'\\U0001f493'
🍹,0.764,0.048,0.246,0.706,0.659,TROPICAL DRINK,Miscellaneous Symbols and Pictographs,b'\\U0001f379'
💑,0.683,0.071,0.200,0.729,0.659,COUPLE WITH HEART,Miscellaneous Symbols and Pictographs,b'\\U0001f491'
🚴,0.573,0.029,0.286,0.686,0.657,BICYCLIST,Transport and Map Symbols,b'\\U0001f6b4'
💗,0.800,0.051,0.241,0.708,0.657,GROWING HEART,Miscellaneous Symbols and Pictographs,b'\\U0001f497'
♥,0.754,0.035,0.272,0.693,0.657,BLACK HEART SUIT,Miscellaneous Symbols,b'\\u2665'
☺,0.799,0.062,0.218,0.720,0.657,WHITE SMILING FACE,Miscellaneous Symbols,b'\\u263a'
💚,0.737,0.078,0.189,0.733,0.656,GREEN HEART,Miscellaneous Symbols and Pictographs,b'\\U0001f49a'
💜,0.731,0.045,0.257,0.699,0.654,PURPLE HEART,Miscellaneous Symbols and Pictographs,b'\\U0001f49c'
🌸,0.570,0.040,0.270,0.690,0.650,CHERRY BLOSSOM,Miscellaneous Symbols and Pictographs,b'\\U0001f338'
↿,0.711,0.010,0.333,0.657,0.648,UPWARDS HARPOON WITH BARB LEFTWARDS,Arrows,b'\\u21bf'
🐌,0.421,0.059,0.235,0.706,0.647,SNAIL,Miscellaneous Symbols and Pictographs,b'\\U0001f40c'
🎷,0.760,0.059,0.235,0.706,0.647,SAXOPHONE,Miscellaneous Symbols and Pictographs,b'\\U0001f3b7'
↾,0.707,0.010,0.333,0.657,0.646,UPWARDS HARPOON WITH BARB RIGHTWARDS,Arrows,b'\\u21be'
💝,0.774,0.076,0.203,0.720,0.644,HEART WITH RIBBON,Miscellaneous Symbols and Pictographs,b'\\U0001f49d'
😊,0.813,0.060,0.237,0.704,0.644,SMILING FACE WITH SMILING EYES,Emoticons,b'\\U0001f60a'
🚨,0.521,0.121,0.121,0.759,0.638,POLICE CARS REVOLVING LIGHT,Transport and Map Symbols,b'\\U0001f6a8'
⛳,0.660,0.091,0.182,0.727,0.636,FLAG IN HOLE,Miscellaneous Symbols,b'\\u26f3'
💕,0.766,0.042,0.285,0.674,0.632,TWO HEARTS,Miscellaneous Symbols and Pictographs,b'\\U0001f495'
😋,0.765,0.046,0.277,0.677,0.631,FACE SAVOURING DELICIOUS FOOD,Emoticons,b'\\U0001f60b'
🎀,0.652,0.044,0.283,0.673,0.629,RIBBON,Miscellaneous Symbols and Pictographs,b'\\U0001f380'
👳,0.816,0.143,0.095,0.762,0.619,MAN WITH TURBAN,Miscellaneous Symbols and Pictographs,b'\\U0001f473'
😻,0.730,0.069,0.243,0.688,0.619,SMILING CAT FACE WITH HEART-SHAPED EYES,Emoticons,b'\\U0001f63b'
⚽,0.193,0.053,0.278,0.669,0.616,SOCCER BALL,Miscellaneous Symbols,b'\\u26bd'
🇪,0.699,0.027,0.330,0.643,0.616,REGIONAL INDICATOR SYMBOL LETTER E,Enclosed Alphanumeric Supplement,b'\\U0001f1ea'
📴,0.982,0.154,0.077,0.769,0.615,MOBILE PHONE OFF,Miscellaneous Symbols and Pictographs,b'\\U0001f4f4'
◢,0.572,0.077,0.231,0.692,0.615,BLACK LOWER RIGHT TRIANGLE,Geometric Shapes,b'\\u25e2'
🎂,0.748,0.083,0.221,0.696,0.613,BIRTHDAY CAKE,Miscellaneous Symbols and Pictographs,b'\\U0001f382'
🇩,0.745,0.037,0.315,0.648,0.611,REGIONAL INDICATOR SYMBOL LETTER D,Enclosed Alphanumeric Supplement,b'\\U0001f1e9'
💿,0.444,0.028,0.333,0.639,0.611,OPTICAL DISC,Miscellaneous Symbols and Pictographs,b'\\U0001f4bf'
🌖,0.535,0.056,0.278,0.667,0.611,WANING GIBBOUS MOON SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f316'
😗,0.714,0.111,0.167,0.722,0.611,KISSING FACE,Emoticons,b'\\U0001f617'
🌗,0.547,0.056,0.278,0.667,0.611,LAST QUARTER MOON SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f317'
🐾,0.739,0.111,0.173,0.716,0.605,PAW PRINTS,Miscellaneous Symbols and Pictographs,b'\\U0001f43e'
👸,0.654,0.061,0.272,0.667,0.605,PRINCESS,Miscellaneous Symbols and Pictographs,b'\\U0001f478'
😛,0.734,0.085,0.229,0.686,0.601,FACE WITH STUCK-OUT TONGUE,Emoticons,b'\\U0001f61b'
❅,0.247,0.100,0.200,0.700,0.600,TIGHT TRIFOLIATE SNOWFLAKE,Dingbats,b'\\u2745'
🌹,0.664,0.023,0.354,0.623,0.600,ROSE,Miscellaneous Symbols and Pictographs,b'\\U0001f339'
💡,0.598,0.067,0.267,0.667,0.600,ELECTRIC LIGHT BULB,Miscellaneous Symbols and Pictographs,b'\\U0001f4a1'
🚿,0.669,0.100,0.200,0.700,0.600,SHOWER,Transport and Map Symbols,b'\\U0001f6bf'
🍉,0.648,0.079,0.245,0.676,0.597,WATERMELON,Miscellaneous Symbols and Pictographs,b'\\U0001f349'
🎃,0.724,0.083,0.238,0.679,0.595,JACK-O-LANTERN,Miscellaneous Symbols and Pictographs,b'\\U0001f383'
🇮,0.576,0.027,0.351,0.622,0.595,REGIONAL INDICATOR SYMBOL LETTER I,Enclosed Alphanumeric Supplement,b'\\U0001f1ee'
🌍,0.624,0.085,0.239,0.676,0.592,EARTH GLOBE EUROPE-AFRICA,Miscellaneous Symbols and Pictographs,b'\\U0001f30d'
🌓,0.458,0.045,0.318,0.636,0.591,FIRST QUARTER MOON SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f313'
🌙,0.669,0.066,0.279,0.656,0.590,CRESCENT MOON,Miscellaneous Symbols and Pictographs,b'\\U0001f319'
😇,0.782,0.072,0.268,0.659,0.587,SMILING FACE WITH HALO,Emoticons,b'\\U0001f607'
🐮,0.847,0.065,0.283,0.652,0.587,COW FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f42e'
🐰,0.708,0.086,0.241,0.672,0.586,RABBIT FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f430'
🐥,0.780,0.071,0.271,0.657,0.586,FRONT-FACING BABY CHICK,Miscellaneous Symbols and Pictographs,b'\\U0001f425'
🎺,0.646,0.167,0.083,0.750,0.583,TRUMPET,Miscellaneous Symbols and Pictographs,b'\\U0001f3ba'
¦,0.402,0.186,0.047,0.767,0.581,BROKEN BAR,Latin-1 Supplement,b'\\xa6'
⭐,0.601,0.037,0.346,0.617,0.580,WHITE MEDIUM STAR,Miscellaneous Symbols and Arrows,b'\\u2b50'
🇹,0.584,0.026,0.368,0.605,0.579,REGIONAL INDICATOR SYMBOL LETTER T,Enclosed Alphanumeric Supplement,b'\\U0001f1f9'
🌔,0.447,0.053,0.316,0.632,0.579,WAXING GIBBOUS MOON SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f314'
🌘,0.578,0.053,0.316,0.632,0.579,WANING CRESCENT MOON SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f318'
🐶,0.654,0.086,0.252,0.662,0.576,DOG FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f436'
🏊,0.653,0.038,0.350,0.613,0.575,SWIMMER,Miscellaneous Symbols and Pictographs,b'\\U0001f3ca'
⚓,0.593,0.086,0.257,0.657,0.571,ANCHOR,Miscellaneous Symbols,b'\\u2693'
👚,0.810,0.071,0.286,0.643,0.571,WOMANS CLOTHES,Miscellaneous Symbols and Pictographs,b'\\U0001f45a'
🌱,0.561,0.036,0.357,0.607,0.571,SEEDLING,Miscellaneous Symbols and Pictographs,b'\\U0001f331'
🗻,0.723,0.071,0.286,0.643,0.571,MOUNT FUJI,Miscellaneous Symbols and Pictographs,b'\\U0001f5fb'
😽,0.754,0.132,0.165,0.703,0.571,KISSING CAT FACE WITH CLOSED EYES,Emoticons,b'\\U0001f63d'
🚣,0.713,0.071,0.286,0.643,0.571,ROWBOAT,Transport and Map Symbols,b'\\U0001f6a3'
🌻,0.607,0.019,0.393,0.589,0.570,SUNFLOWER,Miscellaneous Symbols and Pictographs,b'\\U0001f33b'
😀,0.786,0.086,0.260,0.654,0.568,GRINNING FACE,Emoticons,b'\\U0001f600'
🎓,0.647,0.100,0.238,0.663,0.563,GRADUATION CAP,Miscellaneous Symbols and Pictographs,b'\\U0001f393'
👌,0.805,0.094,0.249,0.657,0.563,OK HAND SIGN,Miscellaneous Symbols and Pictographs,b'\\U0001f44c'
🐪,0.837,0.063,0.313,0.625,0.563,DROMEDARY CAMEL,Miscellaneous Symbols and Pictographs,b'\\U0001f42a'
🌒,0.446,0.063,0.313,0.625,0.563,WAXING CRESCENT MOON SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f312'
💎,0.694,0.057,0.325,0.618,0.561,GEM STONE,Miscellaneous Symbols and Pictographs,b'\\U0001f48e'
🙌,0.791,0.101,0.238,0.661,0.559,PERSON RAISING BOTH HANDS IN CELEBRATION,Emoticons,b'\\U0001f64c'
🐏,0.976,0.070,0.302,0.628,0.558,RAM,Miscellaneous Symbols and Pictographs,b'\\U0001f40f'
🌞,0.709,0.024,0.394,0.582,0.558,SUN WITH FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f31e'
😃,0.735,0.072,0.299,0.629,0.557,SMILING FACE WITH OPEN MOUTH,Emoticons,b'\\U0001f603'
🚐,0.776,0.111,0.222,0.667,0.556,MINIBUS,Transport and Map Symbols,b'\\U0001f690'
♌,0.790,0.111,0.222,0.667,0.556,LEO,Miscellaneous Symbols,b'\\u264c'
✘,0.539,0.111,0.222,0.667,0.556,HEAVY BALLOT X,Dingbats,b'\\u2718'
🌕,0.642,0.111,0.222,0.667,0.556,FULL MOON SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f315'
◆,0.602,0.111,0.222,0.667,0.556,BLACK DIAMOND,Geometric Shapes,b'\\u25c6'
🚼,0.693,0.056,0.333,0.611,0.556,BABY SYMBOL,Transport and Map Symbols,b'\\U0001f6bc'
💪,0.807,0.072,0.301,0.627,0.555,FLEXED BICEPS,Miscellaneous Symbols and Pictographs,b'\\U0001f4aa'
🔆,0.605,0.050,0.350,0.600,0.550,HIGH BRIGHTNESS SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f506'
🌛,0.680,0.050,0.350,0.600,0.550,FIRST QUARTER MOON WITH FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f31b'
🌺,0.629,0.020,0.412,0.569,0.549,HIBISCUS,Miscellaneous Symbols and Pictographs,b'\\U0001f33a'
🍂,0.635,0.036,0.380,0.583,0.547,FALLEN LEAF,Miscellaneous Symbols and Pictographs,b'\\U0001f342'
┛,0.712,0.091,0.273,0.636,0.545,BOX DRAWINGS HEAVY UP AND LEFT,Box Drawing,b'\\u251b'
🎾,0.820,0.125,0.208,0.667,0.542,TENNIS RACQUET AND BALL,Miscellaneous Symbols and Pictographs,b'\\U0001f3be'
🇺,0.683,0.122,0.216,0.662,0.541,REGIONAL INDICATOR SYMBOL LETTER U,Enclosed Alphanumeric Supplement,b'\\U0001f1fa'
♔,0.589,0.027,0.405,0.568,0.541,WHITE CHESS KING,Miscellaneous Symbols,b'\\u2654'
🍸,0.663,0.092,0.277,0.631,0.539,COCKTAIL GLASS,Miscellaneous Symbols and Pictographs,b'\\U0001f378'
⌒,0.624,0.077,0.308,0.615,0.538,ARC,Miscellaneous Technical,b'\\u2312'
🌷,0.623,0.008,0.445,0.546,0.538,TULIP,Miscellaneous Symbols and Pictographs,b'\\U0001f337'
🌾,0.558,0.154,0.154,0.692,0.538,EAR OF RICE,Miscellaneous Symbols and Pictographs,b'\\U0001f33e'
🌰,0.786,0.077,0.308,0.615,0.538,CHESTNUT,Miscellaneous Symbols and Pictographs,b'\\U0001f330'
🍴,0.580,0.053,0.358,0.589,0.537,FORK AND KNIFE,Miscellaneous Symbols and Pictographs,b'\\U0001f374'
🆗,0.852,0.171,0.122,0.707,0.537,SQUARED OK,Enclosed Alphanumeric Supplement,b'\\U0001f197'
🎶,0.797,0.097,0.270,0.634,0.537,MULTIPLE MUSICAL NOTES,Miscellaneous Symbols and Pictographs,b'\\U0001f3b6'
♪,0.696,0.083,0.301,0.617,0.534,EIGHTH NOTE,Miscellaneous Symbols,b'\\u266a'
🎄,0.633,0.067,0.335,0.598,0.531,CHRISTMAS TREE,Miscellaneous Symbols and Pictographs,b'\\U0001f384'
🏈,0.823,0.068,0.333,0.598,0.530,AMERICAN FOOTBALL,Miscellaneous Symbols and Pictographs,b'\\U0001f3c8'
🌠,0.761,0.176,0.118,0.706,0.529,SHOOTING STAR,Miscellaneous Symbols and Pictographs,b'\\U0001f320'
➕,0.034,0.147,0.176,0.676,0.529,HEAVY PLUS SIGN,Dingbats,b'\\u2795'
💼,0.573,0.118,0.235,0.647,0.529,BRIEFCASE,Miscellaneous Symbols and Pictographs,b'\\U0001f4bc'
🌴,0.676,0.077,0.320,0.602,0.525,PALM TREE,Miscellaneous Symbols and Pictographs,b'\\U0001f334'
♩,0.792,0.048,0.381,0.571,0.524,QUARTER NOTE,Miscellaneous Symbols,b'\\u2669'
🏄,0.773,0.071,0.333,0.595,0.524,SURFER,Miscellaneous Symbols and Pictographs,b'\\U0001f3c4'
🗼,0.654,0.087,0.304,0.609,0.522,TOKYO TOWER,Miscellaneous Symbols and Pictographs,b'\\U0001f5fc'
🚬,0.805,0.123,0.233,0.644,0.521,SMOKING SYMBOL,Transport and Map Symbols,b'\\U0001f6ac'
🐒,0.640,0.028,0.423,0.549,0.521,MONKEY,Miscellaneous Symbols and Pictographs,b'\\U0001f412'
👍,0.812,0.115,0.248,0.637,0.521,THUMBS UP SIGN,Miscellaneous Symbols and Pictographs,b'\\U0001f44d'
⛄,0.739,0.077,0.325,0.598,0.521,SNOWMAN WITHOUT SNOW,Miscellaneous Symbols,b'\\u26c4'
🐤,0.838,0.080,0.320,0.600,0.520,BABY CHICK,Miscellaneous Symbols and Pictographs,b'\\U0001f424'
👏,0.787,0.104,0.271,0.624,0.520,CLAPPING HANDS SIGN,Miscellaneous Symbols and Pictographs,b'\\U0001f44f'
🌌,0.751,0.120,0.240,0.640,0.520,MILKY WAY,Miscellaneous Symbols and Pictographs,b'\\U0001f30c'
🎸,0.605,0.016,0.453,0.531,0.516,GUITAR,Miscellaneous Symbols and Pictographs,b'\\U0001f3b8'
🌈,0.672,0.066,0.352,0.582,0.516,RAINBOW,Miscellaneous Symbols and Pictographs,b'\\U0001f308'
👨,0.694,0.097,0.290,0.613,0.516,MAN,Miscellaneous Symbols and Pictographs,b'\\U0001f468'
🐱,0.544,0.145,0.197,0.658,0.513,CAT FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f431'
🍻,0.745,0.107,0.274,0.619,0.512,CLINKING BEER MUGS,Miscellaneous Symbols and Pictographs,b'\\U0001f37b'
🇸,0.655,0.096,0.298,0.606,0.511,REGIONAL INDICATOR SYMBOL LETTER S,Enclosed Alphanumeric Supplement,b'\\U0001f1f8'
❄,0.760,0.099,0.295,0.605,0.506,SNOWFLAKE,Dingbats,b'\\u2744'
💌,0.805,0.150,0.200,0.650,0.500,LOVE LETTER,Miscellaneous Symbols and Pictographs,b'\\U0001f48c'
💫,0.614,0.040,0.419,0.540,0.500,DIZZY SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f4ab'
👙,0.697,0.100,0.300,0.600,0.500,BIKINI,Miscellaneous Symbols and Pictographs,b'\\U0001f459'
🚄,0.700,0.100,0.300,0.600,0.500,HIGH-SPEED TRAIN,Transport and Map Symbols,b'\\U0001f684'
✎,0.547,0.100,0.300,0.600,0.500,LOWER RIGHT PENCIL,Dingbats,b'\\u270e'
🏠,0.642,0.077,0.346,0.577,0.500,HOUSE BUILDING,Miscellaneous Symbols and Pictographs,b'\\U0001f3e0'
💒,0.794,0.083,0.333,0.583,0.500,WEDDING,Miscellaneous Symbols and Pictographs,b'\\U0001f492'
🙆,0.840,0.092,0.316,0.592,0.500,FACE WITH OK GESTURE,Emoticons,b'\\U0001f646'
🏉,0.837,0.071,0.357,0.571,0.500,RUGBY FOOTBALL,Miscellaneous Symbols and Pictographs,b'\\U0001f3c9'
👢,0.994,0.125,0.250,0.625,0.500,WOMANS BOOTS,Miscellaneous Symbols and Pictographs,b'\\U0001f462'
⛵,0.324,0.100,0.300,0.600,0.500,SAILBOAT,Miscellaneous Symbols,b'\\u26f5'
🎵,0.715,0.106,0.288,0.606,0.500,MUSICAL NOTE,Miscellaneous Symbols and Pictographs,b'\\U0001f3b5'
🌜,0.604,0.050,0.400,0.550,0.500,LAST QUARTER MOON WITH FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f31c'
🌉,0.848,0.100,0.300,0.600,0.500,BRIDGE AT NIGHT,Miscellaneous Symbols and Pictographs,b'\\U0001f309'
🌇,0.543,0.063,0.375,0.563,0.500,SUNSET OVER BUILDINGS,Miscellaneous Symbols and Pictographs,b'\\U0001f307'
👤,0.786,0.125,0.250,0.625,0.500,BUST IN SILHOUETTE,Miscellaneous Symbols and Pictographs,b'\\U0001f464'
🌊,0.780,0.092,0.316,0.592,0.500,WATER WAVE,Miscellaneous Symbols and Pictographs,b'\\U0001f30a'
🏁,0.618,0.042,0.417,0.542,0.500,CHEQUERED FLAG,Miscellaneous Symbols and Pictographs,b'\\U0001f3c1'
▲,0.338,0.100,0.300,0.600,0.500,BLACK UP-POINTING TRIANGLE,Geometric Shapes,b'\\u25b2'
🍺,0.682,0.067,0.373,0.560,0.493,BEER MUG,Miscellaneous Symbols and Pictographs,b'\\U0001f37a'
😎,0.766,0.106,0.297,0.597,0.491,SMILING FACE WITH SUNGLASSES,Emoticons,b'\\U0001f60e'
🚀,0.698,0.070,0.372,0.558,0.488,ROCKET,Transport and Map Symbols,b'\\U0001f680'
🌳,0.536,0.086,0.343,0.571,0.486,DECIDUOUS TREE,Miscellaneous Symbols and Pictographs,b'\\U0001f333'
👰,0.787,0.114,0.286,0.600,0.486,BRIDE WITH VEIL,Miscellaneous Symbols and Pictographs,b'\\U0001f470'
⛔,0.406,0.088,0.338,0.574,0.485,NO ENTRY,Miscellaneous Symbols,b'\\u26d4'
🙋,0.733,0.130,0.255,0.615,0.485,HAPPY PERSON RAISING ONE HAND,Emoticons,b'\\U0001f64b'
😌,0.847,0.141,0.237,0.623,0.482,RELIEVED FACE,Emoticons,b'\\U0001f60c'
🍁,0.624,0.037,0.445,0.518,0.482,MAPLE LEAF,Miscellaneous Symbols and Pictographs,b'\\U0001f341'
💍,0.808,0.148,0.226,0.626,0.478,RING,Miscellaneous Symbols and Pictographs,b'\\U0001f48d'
🐵,0.631,0.087,0.348,0.565,0.478,MONKEY FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f435'
🎤,0.671,0.122,0.279,0.599,0.476,MICROPHONE,Miscellaneous Symbols and Pictographs,b'\\U0001f3a4'
🐣,0.776,0.155,0.214,0.631,0.476,HATCHING CHICK,Miscellaneous Symbols and Pictographs,b'\\U0001f423'
🐯,0.550,0.049,0.427,0.524,0.476,TIGER FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f42f'
🔝,0.798,0.088,0.350,0.562,0.474,TOP WITH UPWARDS ARROW ABOVE,Miscellaneous Symbols and Pictographs,b'\\U0001f51d'
🇫,0.718,0.053,0.421,0.526,0.474,REGIONAL INDICATOR SYMBOL LETTER F,Enclosed Alphanumeric Supplement,b'\\U0001f1eb'
♻,0.439,0.053,0.421,0.526,0.474,BLACK UNIVERSAL RECYCLING SYMBOL,Miscellaneous Symbols,b'\\u267b'
👄,0.592,0.077,0.372,0.551,0.474,MOUTH,Miscellaneous Symbols and Pictographs,b'\\U0001f444'
💦,0.779,0.141,0.247,0.612,0.471,SPLASHING SWEAT SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f4a6'
♧,0.775,0.059,0.412,0.529,0.471,WHITE CLUB SUIT,Miscellaneous Symbols,b'\\u2667'
🎢,0.826,0.118,0.294,0.588,0.471,ROLLER COASTER,Miscellaneous Symbols and Pictographs,b'\\U0001f3a2'
🍍,0.583,0.170,0.191,0.638,0.468,PINEAPPLE,Miscellaneous Symbols and Pictographs,b'\\U0001f34d'
⬅,0.663,0.067,0.400,0.533,0.467,LEFTWARDS BLACK ARROW,Miscellaneous Symbols and Arrows,b'\\u2b05'
☀,0.546,0.028,0.479,0.493,0.465,BLACK SUN WITH RAYS,Miscellaneous Symbols,b'\\u2600'
▬,0.335,0.012,0.512,0.476,0.464,BLACK RECTANGLE,Geometric Shapes,b'\\u25ac'
🌚,0.760,0.159,0.219,0.623,0.464,NEW MOON WITH FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f31a'
👭,0.667,0.143,0.252,0.605,0.463,TWO WOMEN HOLDING HANDS,Miscellaneous Symbols and Pictographs,b'\\U0001f46d'
😉,0.845,0.100,0.337,0.563,0.463,WINKING FACE,Emoticons,b'\\U0001f609'
✌,0.790,0.113,0.310,0.576,0.463,VICTORY HAND,Dingbats,b'\\u270c'
⛺,0.906,0.154,0.231,0.615,0.462,TENT,Miscellaneous Symbols,b'\\u26fa'
🎒,0.614,0.154,0.231,0.615,0.462,SCHOOL SATCHEL,Miscellaneous Symbols and Pictographs,b'\\U0001f392'
👅,0.738,0.124,0.290,0.585,0.461,TONGUE,Miscellaneous Symbols and Pictographs,b'\\U0001f445'
🙊,0.741,0.135,0.272,0.593,0.459,SPEAK-NO-EVIL MONKEY,Emoticons,b'\\U0001f64a'
🍦,0.630,0.143,0.255,0.602,0.459,SOFT ICE CREAM,Miscellaneous Symbols and Pictographs,b'\\U0001f366'
🌑,0.604,0.125,0.292,0.583,0.458,NEW MOON SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f311'
🐧,0.540,0.042,0.460,0.498,0.456,PENGUIN,Miscellaneous Symbols and Pictographs,b'\\U0001f427'
🐗,0.757,0.091,0.364,0.545,0.455,BOAR,Miscellaneous Symbols and Pictographs,b'\\U0001f417'
🍼,0.890,0.182,0.182,0.636,0.455,BABY BOTTLE,Miscellaneous Symbols and Pictographs,b'\\U0001f37c'
⇨,0.541,0.045,0.455,0.500,0.455,RIGHTWARDS WHITE ARROW,Arrows,b'\\u21e8'
○,0.625,0.091,0.364,0.545,0.455,WHITE CIRCLE,Geometric Shapes,b'\\u25cb'
😜,0.822,0.112,0.322,0.566,0.455,FACE WITH STUCK-OUT TONGUE AND WINKING EYE,Emoticons,b'\\U0001f61c'
